Date;Filière;Valeur (TWh);Nature
2010-12;"Hydropower";6,985;Données Consolidées
2011-01;"Hydropower";5,981;Données Consolidées
2011-02;"Hydropower";4,112;Données Consolidées
2011-03;"Hydropower";4,431;Données Consolidées
2011-04;"Hydropower";3,998;Données Consolidées
2011-05;"Hydropower";3,373;Données Consolidées
2011-06;"Hydropower";4,269;Données Consolidées
2011-07;"Hydropower";4,174;Données Consolidées
2011-08;"Hydropower";3,871;Données Consolidées
2011-09;"Hydropower";3,218;Données Consolidées
2011-10;"Hydropower";3,256;Données Consolidées
2011-11;"Hydropower";3,937;Données Consolidées
2011-12;"Hydropower";5,646;Données Consolidées
2012-01;"Hydropower";6,741;Données Consolidées
2012-02;"Hydropower";5,244;Données Consolidées
2012-03;"Hydropower";3,894;Données Consolidées
2012-04;"Hydropower";5,302;Données Consolidées
2012-05;"Hydropower";7,706;Données Consolidées
2012-06;"Hydropower";6,823;Données Consolidées
2012-07;"Hydropower";4,901;Données Consolidées
2012-08;"Hydropower";3,563;Données Consolidées
2012-09;"Hydropower";3,641;Données Consolidées
2012-10;"Hydropower";4,534;Données Consolidées
2012-11;"Hydropower";4,914;Données Consolidées
2012-12;"Hydropower";6,521;Données Consolidées
2013-01;"Hydropower";6,906;Données Consolidées
2013-02;"Hydropower";6,858;Données Consolidées
2013-03;"Hydropower";6,488;Données Consolidées
2013-04;"Hydropower";7,242;Données Consolidées
2013-05;"Hydropower";8,607;Données Consolidées
2013-06;"Hydropower";7,375;Données Consolidées
2013-07;"Hydropower";6,407;Données Consolidées
2013-08;"Hydropower";4,551;Données Consolidées
2013-09;"Hydropower";4,126;Données Consolidées
2013-10;"Hydropower";4,855;Données Consolidées
2013-11;"Hydropower";6,365;Données Consolidées
2013-12;"Hydropower";5,688;Données Consolidées
2014-01;"Hydropower";7,034639533891;Données Consolidées
2014-02;"Hydropower";7,064786514656;Données Consolidées
2014-03;"Hydropower";6,984440536949;Données Consolidées
2014-04;"Hydropower";5,786263851631;Données Consolidées
2014-05;"Hydropower";6,135081901023;Données Consolidées
2014-06;"Hydropower";4,962682604323;Données Consolidées
2014-07;"Hydropower";6,131025842262;Données Consolidées
2014-08;"Hydropower";5,273334897781;Données Consolidées
2014-09;"Hydropower";3,733771293807;Données Consolidées
2014-10;"Hydropower";3,757241677007;Données Consolidées
2014-11;"Hydropower";4,853922858355;Données Consolidées
2014-12;"Hydropower";5,729297941164;Données Consolidées
2015-01;"Hydropower";6,203325903133;Données Consolidées
2015-02;"Hydropower";6,3772892189;Données Consolidées
2015-03;"Hydropower";6,480549172385;Données Consolidées
2015-04;"Hydropower";5,728845515643;Données Consolidées
2015-05;"Hydropower";6,452224737918;Données Consolidées
2015-06;"Hydropower";5,589550623395;Données Consolidées
2015-07;"Hydropower";4,008137396331;Données Consolidées
2015-08;"Hydropower";3,410344410607;Données Consolidées
2015-09;"Hydropower";3,421187415148;Données Consolidées
2015-10;"Hydropower";3,873896780381;Données Consolidées
2015-11;"Hydropower";3,549972482574;Données Consolidées
2015-12;"Hydropower";3,657317523947;Données Consolidées
2016-01;"Hydropower";5,676766358149;Données Consolidées
2016-02;"Hydropower";6,939796386765;Données Consolidées
2016-03;"Hydropower";6,599527572951;Données Consolidées
2016-04;"Hydropower";6,461725228214;Données Consolidées
2016-05;"Hydropower";6,533701777164;Données Consolidées
2016-06;"Hydropower";7,157149687228;Données Consolidées
2016-07;"Hydropower";5,275702397734;Données Consolidées
2016-08;"Hydropower";3,854307189974;Données Consolidées
2016-09;"Hydropower";3,364324383004;Données Consolidées
2016-10;"Hydropower";3,056593947998;Données Consolidées
2016-11;"Hydropower";4,23961440261;Données Consolidées
2016-12;"Hydropower";4,474004966365;Données Consolidées
2017-01;"Hydropower";5,190193380738;Données Consolidées
2017-02;"Hydropower";4,533730248247;Données Consolidées
2017-03;"Hydropower";6,230751867588;Données Consolidées
2017-04;"Hydropower";4,144489700412;Données Consolidées
2017-05;"Hydropower";5,681809946758;Données Consolidées
2017-06;"Hydropower";5,05303113606;Données Consolidées
2017-07;"Hydropower";3,860121653777;Données Consolidées
2017-08;"Hydropower";3,471253535239;Données Consolidées
2017-09;"Hydropower";3,07240472185;Données Consolidées
2017-10;"Hydropower";2,717699210996;Données Consolidées
2017-11;"Hydropower";3,914307900223;Données Consolidées
2017-12;"Hydropower";5,301084300541;Données Consolidées
2018-01;"Hydropower";7,282318015495;Données Consolidées
2018-02;"Hydropower";7,145624436283;Données Consolidées
2018-03;"Hydropower";7,091014159521;Données Consolidées
2018-04;"Hydropower";6,926801210216;Données Consolidées
2018-05;"Hydropower";7,669843573731;Données Consolidées
2018-06;"Hydropower";7,532076253646;Données Consolidées
2018-07;"Hydropower";5,248934603143;Données Consolidées
2018-08;"Hydropower";3,873425100157;Données Consolidées
2018-09;"Hydropower";3,017641632311;Données Consolidées
2018-10;"Hydropower";2,913768060226;Données Consolidées
2018-11;"Hydropower";3,954562917473;Données Consolidées
2018-12;"Hydropower";5,146717464138;Données Consolidées
2019-01;"Hydropower";4,959895292553;Données Consolidées
2019-02;"Hydropower";5,027367684442;Données Consolidées
2019-03;"Hydropower";5,141943852027;Données Consolidées
2019-04;"Hydropower";4,479664121674;Données Consolidées
2019-05;"Hydropower";5,526376232983;Données Consolidées
2019-06;"Hydropower";5,734735977289;Données Consolidées
2019-07;"Hydropower";4,367765549022;Données Consolidées
2019-08;"Hydropower";3,733523167768;Données Consolidées
2019-09;"Hydropower";2,56055113276;Données Consolidées
2019-10;"Hydropower";3,771402464195;Données Consolidées
2019-11;"Hydropower";6,44664801984;Données Consolidées
2019-12;"Hydropower";7,823731682213;Données Consolidées
2020-01;"Hydropower";6,299329859324;Données Consolidées
2020-02;"Hydropower";6,272057613346;Données Consolidées
2020-03;"Hydropower";7,321267224201;Données Consolidées
2020-04;"Hydropower";5,059091900617;Données Consolidées
2020-05;"Hydropower";6,66250669804;Données Consolidées
2020-06;"Hydropower";6,34056986465;Données Consolidées
2020-07;"Hydropower";4,585009523831;Données Consolidées
2020-08;"Hydropower";3,673292474969;Données Consolidées
2020-09;"Hydropower";3,346188739191;Données Consolidées
2020-10;"Hydropower";5,137003121791;Données Consolidées
2020-11;"Hydropower";4,49626629959;Données Consolidées
2020-12;"Hydropower";5,737481608426;Données Consolidées
2021-01;"Hydropower";7,268982367002;Données Consolidées
2021-02;"Hydropower";6,847100274679;Données Consolidées
2021-03;"Hydropower";5,881466870672;Données Consolidées
2021-04;"Hydropower";3,973147523119;Données Consolidées
2021-05;"Hydropower";6,216259008004;Données Consolidées
2021-06;"Hydropower";6,180734267226;Données Consolidées
2021-07;"Hydropower";5,571181228816;Données Consolidées
2021-08;"Hydropower";4,380674628103;Données Consolidées
2021-09;"Hydropower";3,393283295936;Données Consolidées
2021-10;"Hydropower";2,998764652032;Données Consolidées
2021-11;"Hydropower";3,974061686757;Données Consolidées
2021-12;"Hydropower";5,290325202754;Données Consolidées
2022-01;"Hydropower";5,874375457776;Données Consolidées
2022-02;"Hydropower";4,375312778059;Données Consolidées
2022-03;"Hydropower";4,557519384322;Données Consolidées
2022-04;"Hydropower";5,060325015958;Données Consolidées
2022-05;"Hydropower";5,024761397055;Données Consolidées
2022-06;"Hydropower";4,006507914419;Données Consolidées
2022-07;"Hydropower";3,465020927829;Données Consolidées
2022-08;"Hydropower";2,690399643293;Données Consolidées
2022-09;"Hydropower";2,444918481542;Données Consolidées
2022-10;"Hydropower";3,038227637682;Données Consolidées
2022-11;"Hydropower";3,893077785443;Données Consolidées
2022-12;"Hydropower";5,19069028949;Données Consolidées
2023-01;"Hydropower";6,373296864879;Données Consolidées
2023-02;"Hydropower";3,592902807646;Données Consolidées
2023-03;"Hydropower";4,633182055736;Données Consolidées
2023-04;"Hydropower";4,591448955599;Données Consolidées
2023-05;"Hydropower";5,402470944334;Données Consolidées
2023-06;"Hydropower";5,780606885076;Données Consolidées
2023-07;"Hydropower";3,996524047369;Données Consolidées
2023-08;"Hydropower";3,588527979553;Données Consolidées
2023-09;"Hydropower";3,186928500713;Données Consolidées
2023-10;"Hydropower";3,590834234031;Données Consolidées
2023-11;"Hydropower";6,674770670804;Données Consolidées
2023-12;"Hydropower";7,426552262493;Données Consolidées
2024-01;"Hydropower";7,848305011989;Données Consolidées
2024-02;"Hydropower";6,386104392757;Données Consolidées
2024-03;"Hydropower";7,559663627279;Données Consolidées
2024-04;"Hydropower";6,129436918617;Données Consolidées
2024-05;"Hydropower";7,797584607312;Données Consolidées
2024-06;"Hydropower";6,697679993303;Données Consolidées
2024-07;"Hydropower";5,932969534866;Données Consolidées
2024-08;"Hydropower";4,281753306649;Données Consolidées
2024-09;"Hydropower";4,033408527636;Données Consolidées
2024-10;"Hydropower";6,541941770226;Données Consolidées
2024-11;"Hydropower";5,30085861193;Données Consolidées
2024-12;"Hydropower";6,775699413534;Données Consolidées
2025-01;"Hydropower";7,302226310062;Données Consolidées
2025-02;"Hydropower";6,529645186042;Données Consolidées
2025-03;"Hydropower";5,497044524589;Données Consolidées
2025-04;"Hydropower";5,05519569545;Données Consolidées
2025-05;"Hydropower";5,594462885033;Données Consolidées
2025-06;"Hydropower";5,222120090533;Données Consolidées
2025-07;"Hydropower";3,742847462707;Données Consolidées
2025-08;"Hydropower";3,38810416483;Données Consolidées
2025-09;"Hydropower";3,647517968958;Données Consolidées
2025-10;"Hydropower";4,162442434526;Données Consolidées
2025-11;"Hydropower";5,828067469639;Données Consolidées
2025-12;"Hydropower";6,387205633472;Données Consolidées
2026-01;"Hydropower";6,253296509592;Données Consolidées
2026-02;"Hydropower";6,096734;Données provisoires
1995-01;"Wind";0;Données Consolidées
1995-02;"Wind";0;Données Consolidées
1995-03;"Wind";0;Données Consolidées
1995-04;"Wind";0;Données Consolidées
1995-05;"Wind";0;Données Consolidées
1995-06;"Wind";0;Données Consolidées
1995-07;"Wind";0;Données Consolidées
1995-08;"Wind";0;Données Consolidées
1995-09;"Wind";0;Données Consolidées
1995-10;"Wind";0;Données Consolidées
1995-11;"Wind";0;Données Consolidées
1995-12;"Wind";0;Données Consolidées
1996-01;"Wind";0;Données Consolidées
1996-02;"Wind";0;Données Consolidées
1996-03;"Wind";0;Données Consolidées
1996-04;"Wind";0;Données Consolidées
1996-05;"Wind";0;Données Consolidées
1996-06;"Wind";0;Données Consolidées
1996-07;"Wind";0;Données Consolidées
1996-08;"Wind";0;Données Consolidées
1996-09;"Wind";0;Données Consolidées
1996-10;"Wind";0;Données Consolidées
1996-11;"Wind";0;Données Consolidées
1996-12;"Wind";0;Données Consolidées
1997-01;"Wind";0;Données Consolidées
1997-02;"Wind";0;Données Consolidées
1997-03;"Wind";0;Données Consolidées
1997-04;"Wind";0;Données Consolidées
1997-05;"Wind";0;Données Consolidées
1997-06;"Wind";0;Données Consolidées
1997-07;"Wind";0;Données Consolidées
1997-08;"Wind";0;Données Consolidées
1997-09;"Wind";0;Données Consolidées
1997-10;"Wind";0;Données Consolidées
1997-11;"Wind";0;Données Consolidées
1997-12;"Wind";0;Données Consolidées
1998-01;"Wind";0;Données Consolidées
1998-02;"Wind";0;Données Consolidées
1998-03;"Wind";0;Données Consolidées
1998-04;"Wind";0;Données Consolidées
1998-05;"Wind";0;Données Consolidées
1998-06;"Wind";0;Données Consolidées
1998-07;"Wind";0;Données Consolidées
1998-08;"Wind";0;Données Consolidées
1998-09;"Wind";0;Données Consolidées
1998-10;"Wind";0;Données Consolidées
1998-11;"Wind";0;Données Consolidées
1998-12;"Wind";0;Données Consolidées
1999-01;"Wind";0;Données Consolidées
1999-02;"Wind";0;Données Consolidées
1999-03;"Wind";0;Données Consolidées
1999-04;"Wind";0;Données Consolidées
1999-05;"Wind";0;Données Consolidées
1999-06;"Wind";0;Données Consolidées
1999-07;"Wind";0;Données Consolidées
1999-08;"Wind";0;Données Consolidées
1999-09;"Wind";0;Données Consolidées
1999-10;"Wind";0;Données Consolidées
1999-11;"Wind";0;Données Consolidées
1999-12;"Wind";0;Données Consolidées
2000-01;"Wind";0;Données Consolidées
2000-02;"Wind";0;Données Consolidées
2000-03;"Wind";0;Données Consolidées
2000-04;"Wind";0;Données Consolidées
2000-05;"Wind";0;Données Consolidées
2000-06;"Wind";0;Données Consolidées
2000-07;"Wind";0;Données Consolidées
2000-08;"Wind";0;Données Consolidées
2000-09;"Wind";0;Données Consolidées
2000-10;"Wind";0;Données Consolidées
2000-11;"Wind";0;Données Consolidées
2000-12;"Wind";0;Données Consolidées
2001-01;"Wind";0,007;Données Consolidées
2001-02;"Wind";0,011;Données Consolidées
2001-03;"Wind";0,009;Données Consolidées
2001-04;"Wind";0,011;Données Consolidées
2001-05;"Wind";0,01;Données Consolidées
2001-06;"Wind";0,008;Données Consolidées
2001-07;"Wind";0,007;Données Consolidées
2001-08;"Wind";0,011;Données Consolidées
2001-09;"Wind";0,012;Données Consolidées
2001-10;"Wind";0,008;Données Consolidées
2001-11;"Wind";0,015;Données Consolidées
2001-12;"Wind";0,021;Données Consolidées
2002-01;"Wind";0,015;Données Consolidées
2002-02;"Wind";0,022;Données Consolidées
2002-03;"Wind";0,018;Données Consolidées
2002-04;"Wind";0,023;Données Consolidées
2002-05;"Wind";0,024;Données Consolidées
2002-06;"Wind";0,018;Données Consolidées
2002-07;"Wind";0,025;Données Consolidées
2002-08;"Wind";0,021;Données Consolidées
2002-09;"Wind";0,019;Données Consolidées
2002-10;"Wind";0,021;Données Consolidées
2002-11;"Wind";0,033;Données Consolidées
2002-12;"Wind";0,029;Données Consolidées
2003-01;"Wind";0,036;Données Consolidées
2003-02;"Wind";0,03;Données Consolidées
2003-03;"Wind";0,0273;Données Consolidées
2003-04;"Wind";0,03049;Données Consolidées
2003-05;"Wind";0,0355;Données Consolidées
2003-06;"Wind";0,023;Données Consolidées
2003-07;"Wind";0,0335;Données Consolidées
2003-08;"Wind";0,0175;Données Consolidées
2003-09;"Wind";0,027;Données Consolidées
2003-10;"Wind";0,0434;Données Consolidées
2003-11;"Wind";0,036;Données Consolidées
2003-12;"Wind";0,05;Données Consolidées
2004-01;"Wind";0,054;Données Consolidées
2004-02;"Wind";0,047;Données Consolidées
2004-03;"Wind";0,057;Données Consolidées
2004-04;"Wind";0,053;Données Consolidées
2004-05;"Wind";0,037;Données Consolidées
2004-06;"Wind";0,043;Données Consolidées
2004-07;"Wind";0,044;Données Consolidées
2004-08;"Wind";0,04;Données Consolidées
2004-09;"Wind";0,047;Données Consolidées
2004-10;"Wind";0,045;Données Consolidées
2004-11;"Wind";0,062;Données Consolidées
2004-12;"Wind";0,076;Données Consolidées
2005-01;"Wind";0,102;Données Consolidées
2005-02;"Wind";0,082;Données Consolidées
2005-03;"Wind";0,065;Données Consolidées
2005-04;"Wind";0,067;Données Consolidées
2005-05;"Wind";0,069;Données Consolidées
2005-06;"Wind";0,05;Données Consolidées
2005-07;"Wind";0,071;Données Consolidées
2005-08;"Wind";0,073;Données Consolidées
2005-09;"Wind";0,058;Données Consolidées
2005-10;"Wind";0,107;Données Consolidées
2005-11;"Wind";0,107;Données Consolidées
2005-12;"Wind";0,134;Données Consolidées
2006-01;"Wind";0,136;Données Consolidées
2006-02;"Wind";0,144;Données Consolidées
2006-03;"Wind";0,204;Données Consolidées
2006-04;"Wind";0,152;Données Consolidées
2006-05;"Wind";0,175;Données Consolidées
2006-06;"Wind";0,105;Données Consolidées
2006-07;"Wind";0,097;Données Consolidées
2006-08;"Wind";0,201;Données Consolidées
2006-09;"Wind";0,158;Données Consolidées
2006-10;"Wind";0,245;Données Consolidées
2006-11;"Wind";0,308;Données Consolidées
2006-12;"Wind";0,332;Données Consolidées
2007-01;"Wind";0,426;Données Consolidées
2007-02;"Wind";0,354;Données Consolidées
2007-03;"Wind";0,348;Données Consolidées
2007-04;"Wind";0,184;Données Consolidées
2007-05;"Wind";0,353;Données Consolidées
2007-06;"Wind";0,241;Données Consolidées
2007-07;"Wind";0,33;Données Consolidées
2007-08;"Wind";0,278;Données Consolidées
2007-09;"Wind";0,267;Données Consolidées
2007-10;"Wind";0,273;Données Consolidées
2007-11;"Wind";0,43;Données Consolidées
2007-12;"Wind";0,561;Données Consolidées
2008-01;"Wind";0,606;Données Consolidées
2008-02;"Wind";0,432;Données Consolidées
2008-03;"Wind";0,701;Données Consolidées
2008-04;"Wind";0,419;Données Consolidées
2008-05;"Wind";0,283;Données Consolidées
2008-06;"Wind";0,274;Données Consolidées
2008-07;"Wind";0,343;Données Consolidées
2008-08;"Wind";0,393;Données Consolidées
2008-09;"Wind";0,439;Données Consolidées
2008-10;"Wind";0,453;Données Consolidées
2008-11;"Wind";0,608;Données Consolidées
2008-12;"Wind";0,612;Données Consolidées
2009-01;"Wind";0,654;Données Consolidées
2009-02;"Wind";0,507;Données Consolidées
2009-03;"Wind";0,763;Données Consolidées
2009-04;"Wind";0,48;Données Consolidées
2009-05;"Wind";0,554;Données Consolidées
2009-06;"Wind";0,419;Données Consolidées
2009-07;"Wind";0,563;Données Consolidées
2009-08;"Wind";0,363;Données Consolidées
2009-09;"Wind";0,567;Données Consolidées
2009-10;"Wind";0,652;Données Consolidées
2009-11;"Wind";1,345;Données Consolidées
2009-12;"Wind";0,987;Données Consolidées
2010-01;"Wind";0,688;Données Consolidées
2010-02;"Wind";0,98;Données Consolidées
2010-03;"Wind";1,175;Données Consolidées
2010-04;"Wind";0,731;Données Consolidées
2010-05;"Wind";0,743;Données Consolidées
2010-06;"Wind";0,581;Données Consolidées
2010-07;"Wind";0,488;Données Consolidées
2010-08;"Wind";0,684;Données Consolidées
2010-09;"Wind";0,569;Données Consolidées
2010-10;"Wind";1,075;Données Consolidées
2010-11;"Wind";1,01;Données Consolidées
2010-12;"Wind";1,003;Données Consolidées
2011-01;"Wind";1,268;Données Consolidées
2011-02;"Wind";0,9;Données Consolidées
2011-03;"Wind";1,135;Données Consolidées
2011-04;"Wind";0,688;Données Consolidées
2011-05;"Wind";0,749;Données Consolidées
2011-06;"Wind";0,886;Données Consolidées
2011-07;"Wind";0,839;Données Consolidées
2011-08;"Wind";0,687;Données Consolidées
2011-09;"Wind";0,855;Données Consolidées
2011-10;"Wind";1,07;Données Consolidées
2011-11;"Wind";0,945;Données Consolidées
2011-12;"Wind";2,053;Données Consolidées
2012-01;"Wind";1,587;Données Consolidées
2012-02;"Wind";1,123;Données Consolidées
2012-03;"Wind";0,977;Données Consolidées
2012-04;"Wind";1,572;Données Consolidées
2012-05;"Wind";0,974;Données Consolidées
2012-06;"Wind";0,994;Données Consolidées
2012-07;"Wind";0,912;Données Consolidées
2012-08;"Wind";0,907;Données Consolidées
2012-09;"Wind";0,931;Données Consolidées
2012-10;"Wind";1,355;Données Consolidées
2012-11;"Wind";1,309;Données Consolidées
2012-12;"Wind";2,29;Données Consolidées
2013-01;"Wind";1,326;Données Consolidées
2013-02;"Wind";1,463;Données Consolidées
2013-03;"Wind";1,352;Données Consolidées
2013-04;"Wind";1,49;Données Consolidées
2013-05;"Wind";1,155;Données Consolidées
2013-06;"Wind";1,16;Données Consolidées
2013-07;"Wind";0,877;Données Consolidées
2013-08;"Wind";0,739;Données Consolidées
2013-09;"Wind";0,948;Données Consolidées
2013-10;"Wind";1,612;Données Consolidées
2013-11;"Wind";1,809;Données Consolidées
2013-12;"Wind";2,011;Données Consolidées
2014-01;"Wind";2,181930765;Données Consolidées
2014-02;"Wind";2,472573395;Données Consolidées
2014-03;"Wind";1,282373217;Données Consolidées
2014-04;"Wind";1,048399965;Données Consolidées
2014-05;"Wind";1,519585523;Données Consolidées
2014-06;"Wind";0,955105605;Données Consolidées
2014-07;"Wind";0,94654156;Données Consolidées
2014-08;"Wind";0,975654709;Données Consolidées
2014-09;"Wind";0,723096472;Données Consolidées
2014-10;"Wind";1,269911121;Données Consolidées
2014-11;"Wind";1,492060319;Données Consolidées
2014-12;"Wind";2,106223207;Données Consolidées
2015-01;"Wind";2,299499355;Données Consolidées
2015-02;"Wind";1,910273513;Données Consolidées
2015-03;"Wind";2,005330166;Données Consolidées
2015-04;"Wind";1,452411474;Données Consolidées
2015-05;"Wind";1,580470869;Données Consolidées
2015-06;"Wind";1,254703138;Données Consolidées
2015-07;"Wind";1,399122421;Données Consolidées
2015-08;"Wind";1,126091025;Données Consolidées
2015-09;"Wind";1,674529235;Données Consolidées
2015-10;"Wind";1,292109478;Données Consolidées
2015-11;"Wind";2,54487977;Données Consolidées
2015-12;"Wind";2,572774139;Données Consolidées
2016-01;"Wind";2,850363945;Données Consolidées
2016-02;"Wind";2,899854449;Données Consolidées
2016-03;"Wind";2,453641916;Données Consolidées
2016-04;"Wind";1,670149414;Données Consolidées
2016-05;"Wind";1,541870077;Données Consolidées
2016-06;"Wind";1,071145828;Données Consolidées
2016-07;"Wind";1,017766236;Données Consolidées
2016-08;"Wind";1,187715009;Données Consolidées
2016-09;"Wind";0,990726539;Données Consolidées
2016-10;"Wind";1,409801363;Données Consolidées
2016-11;"Wind";2,323655174;Données Consolidées
2016-12;"Wind";1,529318185;Données Consolidées
2017-01;"Wind";2,043715104831;Données Consolidées
2017-02;"Wind";2,534326608499;Données Consolidées
2017-03;"Wind";2,647432809502;Données Consolidées
2017-04;"Wind";1,459997116501;Données Consolidées
2017-05;"Wind";1,494177471334;Données Consolidées
2017-06;"Wind";1,468629520002;Données Consolidées
2017-07;"Wind";1,704786485334;Données Consolidées
2017-08;"Wind";1,232375436663;Données Consolidées
2017-09;"Wind";1,638291637165;Données Consolidées
2017-10;"Wind";2,074851764002;Données Consolidées
2017-11;"Wind";2,315354451667;Données Consolidées
2017-12;"Wind";3,365612346502;Données Consolidées
2018-01;"Wind";3,998781846333;Données Consolidées
2018-02;"Wind";2,778074741002;Données Consolidées
2018-03;"Wind";3,125905008164;Données Consolidées
2018-04;"Wind";2,160852737334;Données Consolidées
2018-05;"Wind";1,598885334834;Données Consolidées
2018-06;"Wind";1,370421285331;Données Consolidées
2018-07;"Wind";1,100474301504;Données Consolidées
2018-08;"Wind";1,402971755001;Données Consolidées
2018-09;"Wind";1,612137183168;Données Consolidées
2018-10;"Wind";2,491466995335;Données Consolidées
2018-11;"Wind";2,801367641833;Données Consolidées
2018-12;"Wind";3,651540939334;Données Consolidées
2019-01;"Wind";3,050435165168;Données Consolidées
2019-02;"Wind";2,6250344105;Données Consolidées
2019-03;"Wind";4,421031634835;Données Consolidées
2019-04;"Wind";2,316183978501;Données Consolidées
2019-05;"Wind";2,204962824832;Données Consolidées
2019-06;"Wind";1,866695914168;Données Consolidées
2019-07;"Wind";1,699200597498;Données Consolidées
2019-08;"Wind";1,632582021998;Données Consolidées
2019-09;"Wind";2,612926876839;Données Consolidées
2019-10;"Wind";3,359795886168;Données Consolidées
2019-11;"Wind";3,338164607165;Données Consolidées
2019-12;"Wind";4,649236096502;Données Consolidées
2020-01;"Wind";4,159034592832;Données Consolidées
2020-02;"Wind";5,886467195168;Données Consolidées
2020-03;"Wind";4,486351539168;Données Consolidées
2020-04;"Wind";2,273310543;Données Consolidées
2020-05;"Wind";2,653211601334;Données Consolidées
2020-06;"Wind";2,043719374664;Données Consolidées
2020-07;"Wind";2,0985652;Données Consolidées
2020-08;"Wind";2,040062200998;Données Consolidées
2020-09;"Wind";2,140145431666;Données Consolidées
2020-10;"Wind";4,322241909;Données Consolidées
2020-11;"Wind";3,167235663333;Données Consolidées
2020-12;"Wind";4,411615265336;Données Consolidées
2021-01;"Wind";3,965656689006;Données Consolidées
2021-02;"Wind";4,255260634669;Données Consolidées
2021-03;"Wind";3,705755463833;Données Consolidées
2021-04;"Wind";2,945286343668;Données Consolidées
2021-05;"Wind";3,942419230335;Données Consolidées
2021-06;"Wind";1,341539516999;Données Consolidées
2021-07;"Wind";2,301773263665;Données Consolidées
2021-08;"Wind";2,223167389504;Données Consolidées
2021-09;"Wind";1,655743292667;Données Consolidées
2021-10;"Wind";3,490455013995;Données Consolidées
2021-11;"Wind";2,728709987672;Données Consolidées
2021-12;"Wind";4,351562785334;Données Consolidées
2022-01;"Wind";3,154244706874;Données Consolidées
2022-02;"Wind";5,340797262923;Données Consolidées
2022-03;"Wind";3,519739170649;Données Consolidées
2022-04;"Wind";3,592196533637;Données Consolidées
2022-05;"Wind";2,127249435651;Données Consolidées
2022-06;"Wind";1,844452706011;Données Consolidées
2022-07;"Wind";1,886441278134;Données Consolidées
2022-08;"Wind";2,077778922039;Données Consolidées
2022-09;"Wind";2,310111858366;Données Consolidées
2022-10;"Wind";3,533878030186;Données Consolidées
2022-11;"Wind";4,8809952873;Données Consolidées
2022-12;"Wind";4,613283227686;Données Consolidées
2023-01;"Wind";5,657590127098;Données Consolidées
2023-02;"Wind";3,425755608026;Données Consolidées
2023-03;"Wind";5,952250165062;Données Consolidées
2023-04;"Wind";3,846741273823;Données Consolidées
2023-05;"Wind";3,694918667668;Données Consolidées
2023-06;"Wind";2,107654023378;Données Consolidées
2023-07;"Wind";3,257728255447;Données Consolidées
2023-08;"Wind";2,781521224357;Données Consolidées
2023-09;"Wind";2,386201659655;Données Consolidées
2023-10;"Wind";4,542094409241;Données Consolidées
2023-11;"Wind";6,476702058035;Données Consolidées
2023-12;"Wind";6,767178589649;Données Consolidées
2024-01;"Wind";5,452773180517;Données Consolidées
2024-02;"Wind";5,821825508108;Données Consolidées
2024-03;"Wind";4,5659868050932;Données Consolidées
2024-04;"Wind";4,631424700179;Données Consolidées
2024-05;"Wind";2,580478730067;Données Consolidées
2024-06;"Wind";2,383273954404;Données Consolidées
2024-07;"Wind";2,142191695704;Données Consolidées
2024-08;"Wind";2,153823208309;Données Consolidées
2024-09;"Wind";4,126944007582;Données Consolidées
2024-10;"Wind";3,368975279867;Données Consolidées
2024-11;"Wind";4,134301614852;Données Consolidées
2024-12;"Wind";5,484994270256;Données Consolidées
2025-01;"Wind";5,745629147651;Données Consolidées
2025-02;"Wind";3,682957232399;Données Consolidées
2025-03;"Wind";4,153979435129;Données Consolidées
2025-04;"Wind";3,674672443358;Données Consolidées
2025-05;"Wind";3,462058277932;Données Consolidées
2025-06;"Wind";2,45387178571;Données Consolidées
2025-07;"Wind";2,903203931176;Données Consolidées
2025-08;"Wind";2,6344559528052;Données Consolidées
2025-09;"Wind";3,982932101566;Données Consolidées
2025-10;"Wind";5,511210292931;Données Consolidées
2025-11;"Wind";5,506152557769;Données Consolidées
2025-12;"Wind";5,926746140494;Données Consolidées
2026-01;"Wind";6,141300844619;Données Consolidées
2026-02;"Wind";6,24743725;Données provisoires
1995-01;"Solar";0;Données Consolidées
1995-02;"Solar";0;Données Consolidées
1995-03;"Solar";0;Données Consolidées
1995-04;"Solar";0;Données Consolidées
1995-05;"Solar";0;Données Consolidées
1995-06;"Solar";0;Données Consolidées
1995-07;"Solar";0;Données Consolidées
1995-08;"Solar";0;Données Consolidées
1995-09;"Solar";0;Données Consolidées
1995-10;"Solar";0;Données Consolidées
1995-11;"Solar";0;Données Consolidées
1995-12;"Solar";0;Données Consolidées
1996-01;"Solar";0;Données Consolidées
1996-02;"Solar";0;Données Consolidées
1996-03;"Solar";0;Données Consolidées
1996-04;"Solar";0;Données Consolidées
1996-05;"Solar";0;Données Consolidées
1996-06;"Solar";0;Données Consolidées
1996-07;"Solar";0;Données Consolidées
1996-08;"Solar";0;Données Consolidées
1996-09;"Solar";0;Données Consolidées
1996-10;"Solar";0;Données Consolidées
1996-11;"Solar";0;Données Consolidées
1996-12;"Solar";0;Données Consolidées
1997-01;"Solar";0;Données Consolidées
1997-02;"Solar";0;Données Consolidées
1997-03;"Solar";0;Données Consolidées
1997-04;"Solar";0;Données Consolidées
1997-05;"Solar";0;Données Consolidées
1997-06;"Solar";0;Données Consolidées
1997-07;"Solar";0;Données Consolidées
1997-08;"Solar";0;Données Consolidées
1997-09;"Solar";0;Données Consolidées
